##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2240111_TruseqNano_HYGWFDSXY_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	255485969
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.19823020887695	37.0	37.0	37.0	37.0	37.0
2	36.47182890892924	37.0	37.0	37.0	37.0	37.0
3	36.57404750865203	37.0	37.0	37.0	37.0	37.0
4	36.5950461530042	37.0	37.0	37.0	37.0	37.0
5	36.62690669717365	37.0	37.0	37.0	37.0	37.0
6	36.63686815223892	37.0	37.0	37.0	37.0	37.0
7	36.64129061819438	37.0	37.0	37.0	37.0	37.0
8	36.64206721661494	37.0	37.0	37.0	37.0	37.0
9	36.63467924925458	37.0	37.0	37.0	37.0	37.0
10-14	36.63291270057965	37.0	37.0	37.0	37.0	37.0
15-19	36.619670277861715	37.0	37.0	37.0	37.0	37.0
20-24	36.59054272917821	37.0	37.0	37.0	37.0	37.0
25-29	36.539668547512285	37.0	37.0	37.0	37.0	37.0
30-34	36.50287349204683	37.0	37.0	37.0	37.0	37.0
35-39	36.46967045849786	37.0	37.0	37.0	37.0	37.0
40-44	36.440067965532776	37.0	37.0	37.0	37.0	37.0
45-49	36.410329011062046	37.0	37.0	37.0	37.0	37.0
50-54	36.377615915964455	37.0	37.0	37.0	37.0	37.0
55-59	36.3302054415364	37.0	37.0	37.0	37.0	37.0
60-64	36.293660330912346	37.0	37.0	37.0	37.0	37.0
65-69	36.26121058961167	37.0	37.0	37.0	37.0	37.0
70-74	36.21671308297952	37.0	37.0	37.0	37.0	37.0
75-79	36.18471653682085	37.0	37.0	37.0	37.0	37.0
80-84	36.143250643247654	37.0	37.0	37.0	37.0	37.0
85-89	36.09040103489988	37.0	37.0	37.0	37.0	37.0
90-94	36.054941389755925	37.0	37.0	37.0	37.0	37.0
95-99	36.00770501334263	37.0	37.0	37.0	37.0	37.0
100-104	35.9764243569869	37.0	37.0	37.0	37.0	37.0
105-109	35.90056694502859	37.0	37.0	37.0	37.0	37.0
110-114	35.831424343307084	37.0	37.0	37.0	37.0	37.0
115-119	35.79492872737759	37.0	37.0	37.0	37.0	37.0
120-124	35.74510500731255	37.0	37.0	37.0	37.0	37.0
125-129	35.67483448846461	37.0	37.0	37.0	37.0	37.0
130-134	35.55337182528407	37.0	37.0	37.0	37.0	37.0
135-139	35.48708056605644	37.0	37.0	37.0	37.0	37.0
140-144	35.4055390924423	37.0	37.0	37.0	37.0	37.0
145-149	35.3359244546224	37.0	37.0	37.0	34.6	37.0
150	35.31314556064721	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.02554745853231566
1101	2	-0.023208481588191887
1101	3	-0.04723287489467509
1101	4	-0.07559010391644705
1101	5	-0.037526796210109126
1101	6	-0.06994562601327203
1101	7	-0.05121817643853177
1101	8	-0.06887115654556908
1101	9	-0.07440859578110803
1101	10-14	-0.06013359181494593
1101	15-19	-0.05594223874462756
1101	20-24	-0.08992609782670513
1101	25-29	-0.07747745645244208
1101	30-34	-0.0795233106471187
1101	35-39	-0.09567891364581271
1101	40-44	-0.08413230416451967
1101	45-49	-0.09622006714242559
1101	50-54	-0.11101458889834959
1101	55-59	-0.13134493809994296
1101	60-64	-0.14758092019998514
1101	65-69	-0.1315071194834161
1101	70-74	-0.16953098414069245
1101	75-79	-0.1492200087286264
1101	80-84	-0.15018940236230094
1101	85-89	-0.1447217558075664
1101	90-94	-0.15787218856799967
1101	95-99	-0.16693947733472925
1101	100-104	-0.14839151705324838
1101	105-109	-0.19404576124284034
1101	110-114	-0.19902628194181204
1101	115-119	-0.1824229284124641
1101	120-124	-0.2473711050742935
1101	125-129	-0.16451809734092393
1101	130-134	-0.1943496696861331
1101	135-139	-0.16913216687088095
1101	140-144	-0.1779886035132563
1101	145-149	-0.17175530577288356
1101	150	-0.314582442141635
1102	1	-0.02366760635232623
1102	2	-0.008443139727532412
1102	3	-0.04758979889885495
1102	4	-0.06715530279902993
1102	5	-0.038209050262750566
1102	6	-0.07508685767747636
1102	7	-0.09227575723281234
1102	8	-0.0748564821889488
1102	9	-0.08982211391237627
1102	10-14	-0.07199843577632947
1102	15-19	-0.07356248059952719
1102	20-24	-0.09085026921115258
1102	25-29	-0.09435037798244394
1102	30-34	-0.09192019125637785
1102	35-39	-0.11518067756815498
1102	40-44	-0.12744370712312048
1102	45-49	-0.11132355675063366
1102	50-54	-0.12200390797519134
1102	55-59	-0.14651254114681223
1102	60-64	-0.1789883528937679
1102	65-69	-0.1817414996101263
1102	70-74	-0.18567554381971263
1102	75-79	-0.1576184052491243
1102	80-84	-0.17664810465772973
1102	85-89	-0.15404481575167495
1102	90-94	-0.20302524240528896
1102	95-99	-0.22247788109807942
1102	100-104	-0.22551897475048577
1102	105-109	-0.22175283070799168
1102	110-114	-0.23870127153501386
1102	115-119	-0.2744763858476347
1102	120-124	-0.22734880309710093
1102	125-129	-0.2402872838050243
1102	130-134	-0.27027229018884924
1102	135-139	-0.17164272740591713
1102	140-144	-0.20338485172615606
1102	145-149	-0.23863622582752697
1102	150	-0.39405036736992827
1103	1	0.018700237903608752
1103	2	-0.040725037741573544
1103	3	-0.057429154128492144
1103	4	-0.03724230327141953
1103	5	-0.03581983497746677
1103	6	-0.04842658771107011
1103	7	-0.05247358102614896
1103	8	-0.07084183672456135
1103	9	-0.06668261721858215
1103	10-14	-0.05426246564747572
1103	15-19	-0.06360527068236621
1103	20-24	-0.0649145770989108
1103	25-29	-0.05777016137977142
1103	30-34	-0.0686889483275408
1103	35-39	-0.10120632320597167
1103	40-44	-0.10969422697004205
1103	45-49	-0.11259718854507383
1103	50-54	-0.09930899402768745
1103	55-59	-0.1168409189929207
1103	60-64	-0.12046429974501649
1103	65-69	-0.12904496578253344
1103	70-74	-0.14404539059597
1103	75-79	-0.12902571870431245
1103	80-84	-0.15090846030837923
1103	85-89	-0.10109481512046159
1103	90-94	-0.1351956841574875
1103	95-99	-0.16614439296597538
1103	100-104	-0.165049325704274
1103	105-109	-0.18707534198856735
1103	110-114	-0.21564530233440848
1103	115-119	-0.1881771809116941
1103	120-124	-0.20071367247330585
1103	125-129	-0.1656976924878606
1103	130-134	-0.20484879018329138
1103	135-139	-0.11207195220514876
1103	140-144	-0.17148092093889034
1103	145-149	-0.1301444538147365
1103	150	-0.275930195503328
1104	1	0.01025876408308335
1104	2	-0.023118498525136033
1104	3	-0.024604480030049558
1104	4	-0.021883837774289816
1104	5	-0.033434485175085626
1104	6	-0.0330724990877016
1104	7	-0.07286255921047768
1104	8	-0.026464203273299347
1104	9	-0.04499844011832721
1104	10-14	-0.05399047155522396
1104	15-19	-0.05236140368005948
1104	20-24	-0.06282017650001848
1104	25-29	-0.07287812122426374
1104	30-34	-0.09102439496399484
1104	35-39	-0.07657408963718382
1104	40-44	-0.11055963234851163
1104	45-49	-0.08059148939145189
1104	50-54	-0.11897616077151696
1104	55-59	-0.13145170464299838
1104	60-64	-0.12775338136894732
1104	65-69	-0.13830919598122904
1104	70-74	-0.1303028359598244
1104	75-79	-0.15254457302373936
1104	80-84	-0.14825079936107244
1104	85-89	-0.09149982936602896
1104	90-94	-0.15380428619606334
1104	95-99	-0.14058873028269403
1104	100-104	-0.1498617871804413
1104	105-109	-0.19184721700819551
1104	110-114	-0.17078457646810108
1104	115-119	-0.19508796454191213
1104	120-124	-0.19742660006642154
1104	125-129	-0.16683828413787438
1104	130-134	-0.1886612442667115
1104	135-139	-0.13718826491884073
1104	140-144	-0.18965927010026462
1104	145-149	-0.155368035507351
1104	150	-0.2599347788789217
1105	1	-0.021160015461397563
1105	2	-0.034226582712832965
1105	3	-0.045705141007800876
1105	4	-0.03522829313271103
1105	5	-0.051041827553376606
1105	6	-0.04464087856668897
1105	7	-0.05397853727338742
1105	8	-0.04506310437219696
1105	9	-0.08552968819985551
1105	10-14	-0.048064803926770594
1105	15-19	-0.04854585535500888
1105	20-24	-0.06647037806753531
1105	25-29	-0.06491994904262555
1105	30-34	-0.07946004888177782
1105	35-39	-0.1151077401579883
1105	40-44	-0.0945002916891724
1105	45-49	-0.09115443268651546
1105	50-54	-0.09868171564494332
1105	55-59	-0.09802979005851142
1105	60-64	-0.12031554908949715
1105	65-69	-0.11124781099750436
1105	70-74	-0.12304179885912703
1105	75-79	-0.11192262979006529
1105	80-84	-0.1296348888284058
1105	85-89	-0.0955607825655207
1105	90-94	-0.12332759231266976
1105	95-99	-0.12963292984477448
1105	100-104	-0.1053690149619726
1105	105-109	-0.14813565910613136
1105	110-114	-0.15686997765908473
1105	115-119	-0.18088199937114524
1105	120-124	-0.2112187767910072
1105	125-129	-0.12333906789788074
1105	130-134	-0.16242816366016655
1105	135-139	-0.15007755626064068
1105	140-144	-0.14345851294308432
1105	145-149	-0.14873634438655614
1105	150	-0.24001187589735906
1106	1	0.03242723189529073
1106	2	-0.016039796202214518
1106	3	-0.04906219652511368
1106	4	-0.05569797079734684
1106	5	-0.025814651507097608
1106	6	-0.033817356408064825
1106	7	-0.07023193068282296
1106	8	-0.029678783413721987
1106	9	-0.08802245440653422
1106	10-14	-0.06037607076537199
1106	15-19	-0.0581652304128113
1106	20-24	-0.06220072198097881
1106	25-29	-0.07634395824926798
1106	30-34	-0.08732914907598399
1106	35-39	-0.08479212790574309
1106	40-44	-0.06998454894095119
1106	45-49	-0.08327191966260727
1106	50-54	-0.09759685163820819
1106	55-59	-0.12494307804362847
1106	60-64	-0.12640900939096866
1106	65-69	-0.1289183867211321
1106	70-74	-0.13100812986682087
1106	75-79	-0.10964683628198912
1106	80-84	-0.1277725271592871
1106	85-89	-0.0940688558487821
1106	90-94	-0.13495252218391585
1106	95-99	-0.15104215601384396
1106	100-104	-0.15720482532150726
1106	105-109	-0.15943835944829488
1106	110-114	-0.1737393696710967
1106	115-119	-0.21833612232509125
1106	120-124	-0.17587476162469784
1106	125-129	-0.13568399448104174
1106	130-134	-0.2107400167031912
1106	135-139	-0.12934623414106028
1106	140-144	-0.12594853256886296
1106	145-149	-0.18949731632478262
1106	150	-0.27545456041560357
1107	1	0.04386805151295192
