##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2450111_TruSeqCD_AHT377DSXX_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	216526645
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.26226426313492	37.0	37.0	37.0	37.0	37.0
2	36.49596599531665	37.0	37.0	37.0	37.0	37.0
3	36.64686360424603	37.0	37.0	37.0	37.0	37.0
4	36.65595823553263	37.0	37.0	37.0	37.0	37.0
5	36.70011698560239	37.0	37.0	37.0	37.0	37.0
6	36.70621652591532	37.0	37.0	37.0	37.0	37.0
7	36.7056582666766	37.0	37.0	37.0	37.0	37.0
8	36.712427692213126	37.0	37.0	37.0	37.0	37.0
9	36.705403766820474	37.0	37.0	37.0	37.0	37.0
10-14	36.71396509284112	37.0	37.0	37.0	37.0	37.0
15-19	36.69922216639897	37.0	37.0	37.0	37.0	37.0
20-24	36.67719565137122	37.0	37.0	37.0	37.0	37.0
25-29	36.642974945647	37.0	37.0	37.0	37.0	37.0
30-34	36.605906465691554	37.0	37.0	37.0	37.0	37.0
35-39	36.582623765310736	37.0	37.0	37.0	37.0	37.0
40-44	36.56232742810937	37.0	37.0	37.0	37.0	37.0
45-49	36.52648369719117	37.0	37.0	37.0	37.0	37.0
50-54	36.50464075033352	37.0	37.0	37.0	37.0	37.0
55-59	36.47372032666003	37.0	37.0	37.0	37.0	37.0
60-64	36.4482580487958	37.0	37.0	37.0	37.0	37.0
65-69	36.42892677434687	37.0	37.0	37.0	37.0	37.0
70-74	36.40438783042152	37.0	37.0	37.0	37.0	37.0
75-79	36.371459336101566	37.0	37.0	37.0	37.0	37.0
80-84	36.34272657021033	37.0	37.0	37.0	37.0	37.0
85-89	36.31594144083284	37.0	37.0	37.0	37.0	37.0
90-94	36.2814909924827	37.0	37.0	37.0	37.0	37.0
95-99	36.25885512519717	37.0	37.0	37.0	37.0	37.0
100-104	36.19148432748311	37.0	37.0	37.0	37.0	37.0
105-109	36.16330629516751	37.0	37.0	37.0	37.0	37.0
110-114	36.12292538592652	37.0	37.0	37.0	37.0	37.0
115-119	36.07711449369199	37.0	37.0	37.0	37.0	37.0
120-124	36.05978858444881	37.0	37.0	37.0	37.0	37.0
125-129	36.03967480768937	37.0	37.0	37.0	37.0	37.0
130-134	35.97890131258442	37.0	37.0	37.0	37.0	37.0
135-139	35.90689301817797	37.0	37.0	37.0	37.0	37.0
140-144	35.88991288439351	37.0	37.0	37.0	37.0	37.0
145-149	35.840291701744135	37.0	37.0	37.0	37.0	37.0
150	35.76847488677433	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.05911717478578993
1101	2	-0.061172443987615566
1101	3	-0.01646629315035142
1101	4	-0.07168202691341463
1101	5	-0.025315987955295327
1101	6	-0.021278087616984465
1101	7	-0.04582096052507012
1101	8	-0.059820457328854104
1101	9	-0.025771858955877747
1101	10-14	-0.03851496658100473
1101	15-19	-0.016275491172613954
1101	20-24	-0.036068035602568216
1101	25-29	-0.042212102513936145
1101	30-34	-0.02555785251767162
1101	35-39	-0.03743827075658146
1101	40-44	-0.0337882721893763
1101	45-49	-0.041903148802106216
1101	50-54	-0.03385623376046709
1101	55-59	-0.024964799315334574
1101	60-64	-0.02345724766946944
1101	65-69	-0.030204650804165567
1101	70-74	-0.029337512568247348
1101	75-79	-0.04382244115404177
1101	80-84	-0.0360576614777699
1101	85-89	-0.019421848487176874
1101	90-94	-0.030903432549067134
1101	95-99	-0.030234586055037482
1101	100-104	-0.028798623143813984
1101	105-109	-0.03682020226620608
1101	110-114	-0.04495877907728385
1101	115-119	-0.03864081772734096
1101	120-124	-0.029080069020750443
1101	125-129	-0.04699523566105057
1101	130-134	7.082148801700328E-4
1101	135-139	-0.005474568558938131
1101	140-144	0.0034766132934507255
1101	145-149	0.027144825614733747
1101	150	0.024847355677010796
1102	1	-0.11447127742028584
1102	2	-0.025245157158344966
1102	3	-0.025564179706151435
1102	4	-0.020255315110844663
1102	5	-0.024153377608548965
1102	6	-0.02580159345449573
1102	7	-0.04694370706962303
1102	8	-0.015629592271999115
1102	9	-0.025253725394847493
1102	10-14	-0.02378862340869148
1102	15-19	-0.024468061638735605
1102	20-24	-0.05091385650990077
1102	25-29	-0.04560546288251999
1102	30-34	-0.038982366415140746
1102	35-39	-0.033555739113566574
1102	40-44	-0.04967091488130393
1102	45-49	-0.05710109825029974
1102	50-54	-0.04606957352432772
1102	55-59	-0.05140664796990535
1102	60-64	-0.04447631268609342
1102	65-69	-0.0752617802840092
1102	70-74	-0.05525969446495793
1102	75-79	-0.06642159868566466
1102	80-84	-0.09358977188942674
1102	85-89	-0.05520467790881867
1102	90-94	-0.06077072845779696
1102	95-99	-0.06650665796704658
1102	100-104	-0.09941935135098134
1102	105-109	-0.0689705830041305
1102	110-114	-0.07196589048959368
1102	115-119	-0.08148082134079004
1102	120-124	-0.05773698649693415
1102	125-129	-0.05324957211851
1102	130-134	-0.025067815491489398
1102	135-139	-0.01771438969286976
1102	140-144	5.763266953806578E-4
1102	145-149	-0.02327261264273517
1102	150	0.03436121174729578
1103	1	-0.13037631868715494
1103	2	-0.06708868008850999
1103	3	-2.8658348534804645E-4
1103	4	-0.05031365960184786
1103	5	-0.03742239929610491
1103	6	-0.03399269827718143
1103	7	-0.04109784674313488
1103	8	-0.042512692484635295
1103	9	-0.07512793524563222
1103	10-14	-0.05376100881925083
1103	15-19	-0.03875536992082118
1103	20-24	-0.037954915926825095
1103	25-29	-0.05048146886663574
1103	30-34	-0.04842243040157257
1103	35-39	-0.035896287323147646
1103	40-44	-0.036966975861439266
1103	45-49	-0.054522383322535006
1103	50-54	-0.04346113577822308
1103	55-59	-0.03778705784527858
1103	60-64	-0.02997529917692532
1103	65-69	-0.0397738954214546
1103	70-74	-0.053102945691918535
1103	75-79	-0.03279389129006205
1103	80-84	-0.043159232593026786
1103	85-89	-0.04582825670310342
1103	90-94	-0.06717748762774534
1103	95-99	-0.0444098295418911
1103	100-104	-0.072800950929512
1103	105-109	-0.06353139908596006
1103	110-114	-0.0737583521163856
1103	115-119	-0.06082237528233492
1103	120-124	-0.07107169170119221
1103	125-129	-0.027085266649436335
1103	130-134	-0.0452548080734374
1103	135-139	0.015570981612846424
1103	140-144	0.005334073746901424
1103	145-149	0.009353155077484132
1103	150	0.05844602898302753
1104	1	-0.12029218772986638
1104	2	-0.08173075536467422
1104	3	-0.05980802546013564
1104	4	-0.07636407417921731
1104	5	-0.05548156884668032
1104	6	-0.0286105048795946
1104	7	-0.07333538959550623
1104	8	-0.04238594159991749
1104	9	-0.05016537751682648
1104	10-14	-0.03419601297525787
1104	15-19	-0.03599166655831709
1104	20-24	-0.028100225710154803
1104	25-29	-0.031019162878536122
1104	30-34	-0.027527300736416294
1104	35-39	-0.04248434987142247
1104	40-44	-0.02135547501195134
1104	45-49	-0.03795676553363592
1104	50-54	-0.027181985117813667
1104	55-59	-0.05350895581477033
1104	60-64	-0.018736883410127803
1104	65-69	-0.04839200713760761
1104	70-74	-0.0527072600931362
1104	75-79	-0.043275973063529705
1104	80-84	-0.03327337261647756
1104	85-89	-0.01858586815012586
1104	90-94	-0.02875355315642736
1104	95-99	-0.04682502091857543
1104	100-104	-0.038777726143450764
1104	105-109	-0.042749677622481386
1104	110-114	-0.040452427760236276
1104	115-119	-0.07065096945779459
1104	120-124	-0.03231265238449765
1104	125-129	-0.04304626476224627
1104	130-134	-0.03352629502452942
1104	135-139	-0.0043905285680096995
1104	140-144	0.01965842465679657
1104	145-149	0.030212464841341102
1104	150	0.05116934034229814
1105	1	-0.1368288335084813
1105	2	-0.07346036513891363
1105	3	-0.02376993736115196
1105	4	-0.07265423890739697
1105	5	-0.040585161404422365
1105	6	-0.02049186716454443
1105	7	-0.050214541878112584
1105	8	-0.0458596319670832
1105	9	-0.05067329847801716
1105	10-14	-0.02985131298436272
1105	15-19	-2.895606926855976E-4
1105	20-24	-0.024554134931179306
1105	25-29	-0.03551524340264933
1105	30-34	-0.029516295871665932
1105	35-39	-0.011901651508580358
1105	40-44	-0.017298860860009313
1105	45-49	-0.025931757522485555
1105	50-54	-0.0051987311332695185
1105	55-59	-0.027649083295571586
1105	60-64	-0.014498995325951114
1105	65-69	-0.013251245354702235
1105	70-74	-0.0026632672269784052
1105	75-79	0.0012203267126977835
1105	80-84	-0.00985943381681409
1105	85-89	-0.02351425161829468
1105	90-94	-0.0016311596937086392
1105	95-99	-0.004638496792253477
1105	100-104	-0.033541947627689694
1105	105-109	-0.01898264634007063
1105	110-114	-0.024553988060070253
1105	115-119	-0.017026382038736187
1105	120-124	0.00503404967690102
1105	125-129	-0.0019074939352208276
1105	130-134	0.017185595592849268
1105	135-139	0.051481812261236826
1105	140-144	0.051173321510432856
1105	145-149	0.041578543335582197
1105	150	0.08984122045237797
1106	1	-0.11006497429503526
1106	2	-0.038421847069948
1106	3	-0.047343347995635554
1106	4	-0.0318035099702314
1106	5	-0.04691272254277834
1106	6	-0.0474130149101768
1106	7	-0.06967303142812398
1106	8	-0.04160285150071985
1106	9	-0.053419520729654835
1106	10-14	-0.022463258615474047
1106	15-19	-0.037447827560647795
1106	20-24	-0.03090616070785046
1106	25-29	-0.026924747620483913
1106	30-34	-0.03253023053115811
1106	35-39	-0.03984127857547293
1106	40-44	-0.02040874485416566
1106	45-49	-0.024524508014110324
1106	50-54	-0.018047450395847875
1106	55-59	-0.04031744800128223
1106	60-64	-0.020107225057110156
1106	65-69	-0.024892450454593984
1106	70-74	-0.025697157105867063
1106	75-79	-0.026513182446350925
1106	80-84	-0.01645452976129036
1106	85-89	-0.027152611760463685
1106	90-94	-0.014977297001777856
1106	95-99	-0.005110218087409635
1106	100-104	-0.024962629654410762
1106	105-109	-0.013587771787250347
1106	110-114	-0.027252346645454395
1106	115-119	-0.04504560798102375
1106	120-124	0.003999774901771502
1106	125-129	0.010099071223727663
1106	130-134	0.05235321346940225
1106	135-139	0.056198736609971434
1106	140-144	0.0497164545187232
1106	145-149	0.058635435691037685
1106	150	0.1511638233111796
1107	1	-0.11224178483962532
1107	2	-0.028015596569296974
1107	3	-0.035710868383354466
1107	4	-0.06293562328358604
1107	5	-4.24467604815959E-4
1107	6	-0.0064680176346954
1107	7	-0.060718910902537004
1107	8	-0.03348423323770078
1107	9	-0.041076289582321124
1107	10-14	-0.014734048268962852
1107	15-19	-0.014444493640432654
1107	20-24	-0.021746161268254127
1107	25-29	-0.018539505759939345
1107	30-34	-0.01607843633049555
1107	35-39	-0.01554964602465958
1107	40-44	-0.008932546389274876
1107	45-49	-0.025307537052647433
1107	50-54	-0.017309508559108622
1107	55-59	-0.027768506173025287
1107	60-64	-0.004037618770183826
1107	65-69	-0.009127703896375294
1107	70-74	-0.0027066590740787433
1107	75-79	-0.002979396361283193
1107	80-84	0.007842817549011727
1107	85-89	0.0029581578209061377
1107	90-94	0.007230453855669339
1107	95-99	0.008861778539696274
1107	100-104	-0.010141659575097606
1107	105-109	0.013435703210596728
1107	110-114	-0.03010613741115975
1107	115-119	-0.011648717409691756
1107	120-124	0.007023726781362427
1107	125-129	0.010125393059077226
