##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	2B_TruSeqCD_BHCHTCDRXX_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24577504
Sequences flagged as poor quality	0
Sequence length	100
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.54117179677806	37.0	37.0	37.0	37.0	37.0
2	36.54560882179086	37.0	37.0	37.0	37.0	37.0
3	36.6118085872349	37.0	37.0	37.0	37.0	37.0
4	36.61639436616509	37.0	37.0	37.0	37.0	37.0
5	36.62336614816541	37.0	37.0	37.0	37.0	37.0
6	36.62238158927774	37.0	37.0	37.0	37.0	37.0
7	36.60411024650835	37.0	37.0	37.0	37.0	37.0
8	36.61082866673524	37.0	37.0	37.0	37.0	37.0
9	36.60527236614426	37.0	37.0	37.0	37.0	37.0
10-11	36.600673892678444	37.0	37.0	37.0	37.0	37.0
12-13	36.58693510943992	37.0	37.0	37.0	37.0	37.0
14-15	36.579369247585106	37.0	37.0	37.0	37.0	37.0
16-17	36.57500841012985	37.0	37.0	37.0	37.0	37.0
18-19	36.578455485146094	37.0	37.0	37.0	37.0	37.0
20-21	36.56679990775304	37.0	37.0	37.0	37.0	37.0
22-23	36.54095535901449	37.0	37.0	37.0	37.0	37.0
24-25	36.53057442285433	37.0	37.0	37.0	37.0	37.0
26-27	36.50739214608612	37.0	37.0	37.0	37.0	37.0
28-29	36.49301279739391	37.0	37.0	37.0	37.0	37.0
30-31	36.47429891578901	37.0	37.0	37.0	37.0	37.0
32-33	36.47538637365291	37.0	37.0	37.0	37.0	37.0
34-35	36.46337203322192	37.0	37.0	37.0	37.0	37.0
36-37	36.46081440979523	37.0	37.0	37.0	37.0	37.0
38-39	36.44134449128764	37.0	37.0	37.0	37.0	37.0
40-41	36.42580589143633	37.0	37.0	37.0	37.0	37.0
42-43	36.4191777977129	37.0	37.0	37.0	37.0	37.0
44-45	36.408997064958264	37.0	37.0	37.0	37.0	37.0
46-47	36.40528971127418	37.0	37.0	37.0	37.0	37.0
48-49	36.40395924663464	37.0	37.0	37.0	37.0	37.0
50-51	36.39778459602732	37.0	37.0	37.0	37.0	37.0
52-53	36.38134391108227	37.0	37.0	37.0	37.0	37.0
54-55	36.373240809969964	37.0	37.0	37.0	37.0	37.0
56-57	36.372348083027475	37.0	37.0	37.0	37.0	37.0
58-59	36.355181144513296	37.0	37.0	37.0	37.0	37.0
60-61	36.36340791562886	37.0	37.0	37.0	37.0	37.0
62-63	36.355453670153	37.0	37.0	37.0	37.0	37.0
64-65	36.34105363180899	37.0	37.0	37.0	37.0	37.0
66-67	36.30268222110756	37.0	37.0	37.0	37.0	37.0
68-69	36.290952104005356	37.0	37.0	37.0	37.0	37.0
70-71	36.285150721570425	37.0	37.0	37.0	37.0	37.0
72-73	36.2888293497989	37.0	37.0	37.0	37.0	37.0
74-75	36.26381206163165	37.0	37.0	37.0	37.0	37.0
76-77	36.27678099452247	37.0	37.0	37.0	37.0	37.0
78-79	36.287676323844764	37.0	37.0	37.0	37.0	37.0
80-81	36.25785928058439	37.0	37.0	37.0	37.0	37.0
82-83	36.237832958953035	37.0	37.0	37.0	37.0	37.0
84-85	36.217151078482175	37.0	37.0	37.0	37.0	37.0
86-87	36.19844639227807	37.0	37.0	37.0	37.0	37.0
88-89	36.20662033052665	37.0	37.0	37.0	37.0	37.0
90-91	36.202797647800196	37.0	37.0	37.0	37.0	37.0
92-93	36.176188883948505	37.0	37.0	37.0	37.0	37.0
94-95	36.1612702616181	37.0	37.0	37.0	37.0	37.0
96-97	36.183054003368284	37.0	37.0	37.0	37.0	37.0
98-99	36.118589808794255	37.0	37.0	37.0	37.0	37.0
100	36.12771646787241	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.019535380952028447
1101	2	0.024742289997114142
1101	3	0.01435064159760202
1101	4	0.01491727146171229
1101	5	0.010437785370022823
1101	6	0.05606040027981152
1101	7	0.06822202917651765
1101	8	0.05304224946604563
1101	9	0.05576186210452505
1101	10-11	0.020637314308032728
1101	12-13	-0.15217192552357517
1101	14-15	0.04144014256522155
1101	16-17	7.810105615391194E-4
1101	18-19	2.52230288126043E-4
1101	20-21	0.016776860743640043
1101	22-23	0.019413867750252223
1101	24-25	0.02841264767099716
1101	26-27	0.04622760806755366
1101	28-29	0.05565042228401751
1101	30-31	0.041548131042894454
1101	32-33	0.025454252347401507
1101	34-35	0.0241283566375472
1101	36-37	0.029829389158351205
1101	38-39	0.02306735339835342
1101	40-41	0.022464792990781746
1101	42-43	0.04606023056581421
1101	44-45	0.04777163193256939
1101	46-47	0.013502654842049822
1101	48-49	0.04072927498451406
1101	50-51	0.03877952787014749
1101	52-53	-0.01546643938671366
1101	54-55	0.007933974830599766
1101	56-57	0.024782732909741867
1101	58-59	0.008986146874690348
1101	60-61	0.0591283759989949
1101	62-63	0.0772616305571816
1101	64-65	0.061347787806610654
1101	66-67	0.0022632619256128805
1101	68-69	-0.003621185809571159
1101	70-71	0.05428512008005271
1101	72-73	-0.001543305170045528
1101	74-75	0.01742650172483451
1101	76-77	8.164529222227657E-4
1101	78-79	7.295820344808135E-4
1101	80-81	0.053932858622388835
1101	82-83	0.02195743191803956
1101	84-85	0.011642086934720908
1101	86-87	0.0325103948277885
1101	88-89	0.07204489846475326
1101	90-91	0.026060931332324344
1101	92-93	0.03132960459387846
1101	94-95	-0.016246911733041713
1101	96-97	0.03290145103534314
1101	98-99	-0.011966174791169237
1101	100	0.07076756568920217
1102	1	-0.03258521451059693
1102	2	0.04872079207996194
1102	3	0.002983888196972373
1102	4	-0.03195499735225127
1102	5	0.02232900566095708
1102	6	-0.002092847007403975
1102	7	-0.023949709487595783
1102	8	0.016593083176331902
1102	9	0.0664396609010609
1102	10-11	-0.4467394184361524
1102	12-13	-0.018548681275149193
1102	14-15	0.00709723606699697
1102	16-17	0.013299288799544229
1102	18-19	-0.0432644289936448
1102	20-21	-0.013379257066368666
1102	22-23	-0.02459361032865104
1102	24-25	-0.0059103074872766115
1102	26-27	0.021819312952786163
1102	28-29	-0.001405627981192481
1102	30-31	-0.0011806403236604979
1102	32-33	0.006147118997560597
1102	34-35	-0.03752760172799441
1102	36-37	0.05458246242871212
1102	38-39	-0.025733275759229457
1102	40-41	3.661504942016336E-4
1102	42-43	-0.02204053313822385
1102	44-45	0.03699969764715405
1102	46-47	0.003658695380195809
1102	48-49	-0.005038766335282219
1102	50-51	0.046709916314981115
1102	52-53	-0.0111931948920585
1102	54-55	-0.01022065194926114
1102	56-57	-0.027593888914495324
1102	58-59	-0.024426108786911982
1102	60-61	-0.02390767577144004
1102	62-63	-0.02677448909530966
1102	64-65	-0.022142473635589965
1102	66-67	0.02825016722783147
1102	68-69	0.03290862506297998
1102	70-71	-0.01140370080256048
1102	72-73	-0.026935264681867466
1102	74-75	-0.004892634746973101
1102	76-77	0.00659520019437565
1102	78-79	0.03309765423451694
1102	80-81	0.006790518336856621
1102	82-83	-0.07222046148108774
1102	84-85	-0.011855841205715478
1102	86-87	-0.044378300747752064
1102	88-89	-0.037843250048211985
1102	90-91	0.07773293833404438
1102	92-93	-0.007054366638946874
1102	94-95	0.02135493530500554
1102	96-97	0.051984923530582705
1102	98-99	0.021966399148780624
1102	100	0.04878856789472508
1103	1	0.036591251524725976
1103	2	0.02509342057459918
1103	3	0.006785455273032426
1103	4	0.015104245209485612
1103	5	-0.009280998999059875
1103	6	0.008087092997499212
1103	7	0.03721454255153134
1103	8	0.014392313048176675
1103	9	0.030545930979826608
1103	10-11	0.05323652131437484
1103	12-13	-0.03447195931152436
1103	14-15	8.789047051180887E-4
1103	16-17	-0.01012975444277231
1103	18-19	0.009638427792808102
